transaction_id,items
T1,"Python Basics, AI for Everyone, Data Science for Beginners"
T2,"Python Basics, Cybersecurity 101, Machine Learning Guide"
T3,"Python Basics, Cloud Computing Intro, HTML Crash Course, React Handbook"
T4,"AI for Everyone, Machine Learning Guide, Cloud Computing Intro"
T5,"Data Science for Beginners, Machine Learning Guide, AI for Everyone"
T6,"Python Basics, Data Science for Beginners, HTML Crash Course"
T7,"Python Basics, React Handbook, Linux Command Guide"
T8,"Machine Learning Guide, AI for Everyone, Cloud Computing Intro"
T9,"Python Basics, Cloud Computing Intro, React Handbook"
T10,"Cybersecurity 101, Linux Command Guide"
T11,"HTML Crash Course, React Handbook, Cloud Computing Intro"
T12,"Python Basics, Machine Learning Guide"
T13,"Python Basics, Data Science for Beginners, AI for Everyone, Cloud Computing Intro"
T14,"HTML Crash Course, React Handbook"
T15,"Python Basics, Linux Command Guide"
T16,"AI for Everyone, Machine Learning Guide, Cloud Computing Intro, Python Basics"
T17,"Cybersecurity 101, AI for Everyone"
T18,"React Handbook, Cloud Computing Intro, Machine Learning Guide"
T19,"Python Basics, Data Science for Beginners"
T20,"AI for Everyone, Data Science for Beginners, Machine Learning Guide"
T21,"Cybersecurity 101, HTML Crash Course, React Handbook"
T22,"Python Basics, Cloud Computing Intro"
T23,"AI for Everyone, Machine Learning Guide"
T24,"React Handbook, Linux Command Guide, Python Basics"
T25,"Data Science for Beginners, AI for Everyone, Cloud Computing Intro"
